MIN,MAX,Probability,ItemMasterID,ItemProbability,出現確率
5,90,10,ヒールポーション,200,4.13%
5,90,10,メガヒールポーション,150,3.10%
5,90,10,ギガヒールポーション,100,2.07%
5,90,10,アーマーポーション,200,4.13%
5,90,10,メガアーマーポーション,150,3.10%
5,90,10,ギガアーマーポーション,100,2.07%
5,90,10,再生付与の薬,70,1.45%
5,90,10,鋭利付与の薬,70,1.45%
5,90,10,硬化付与の薬,70,1.45%
5,90,10,透視付与の薬,70,1.45%
5,90,10,罠師付与の薬,70,1.45%
5,90,10,幸福付与の薬,70,1.45%
5,90,10,毒打消の薬,70,1.45%
5,90,10,呆け打消の薬,70,1.45%
5,90,10,負傷打消の薬,70,1.45%
5,90,10,鈍ら打消の薬,70,1.45%
5,90,10,恐怖打消の薬,70,1.45%
5,90,10,封印打消の薬,70,1.45%
5,90,10,混乱打消の薬,70,1.45%
5,90,10,エックスレイポーション,70,1.45%
5,90,10,アナライシスポーション,70,1.45%
5,90,10,ドレインポーション,70,1.45%
5,90,10,ブレイクポーション,70,1.45%
5,90,10,アルケミポーション,70,1.45%
5,90,10,バックポーション,70,1.45%
5,90,10,プロシードポーション,70,1.45%
5,90,10,鋼鉄の剣,50,1.03%
5,90,10,怪剣シュテンドウジ,15,0.31%
5,90,10,大器の剣,15,0.31%
5,90,10,蛇の剣,50,1.03%
5,90,10,蜻蛉切,50,1.03%
5,90,10,パルチザン,50,1.03%
5,90,10,見極めの剣,50,1.03%
5,90,10,キセル,50,1.03%
5,90,10,懐刀,50,1.03%
5,90,10,世界樹の杖,50,1.03%
5,90,10,七星剣,50,1.03%
5,90,10,ワザモノツルギ,50,1.03%
5,90,10,ククリ,50,1.03%
5,90,10,ヘドロの剣,50,1.03%
5,90,10,惑わしの杖,50,1.03%
5,90,10,恐喝剣,50,1.03%
5,90,10,六芒星の剣,50,1.03%
5,90,10,幸運の剣,50,1.03%
5,90,10,ガラドール,50,1.03%
5,90,10,鍛錬の剣,50,1.03%
5,90,10,銭刀,50,1.03%
5,90,10,十手,50,1.03%
5,90,10,妖刀イマツルギ,10,0.21%
5,90,10,鋼鉄の盾,50,1.03%
5,90,10,金剛タマモノマエ,15,0.31%
5,90,10,大器の盾,15,0.31%
5,90,10,再生の盾,50,1.03%
5,90,10,ヒーターシールド,50,1.03%
5,90,10,カイトシールド,50,1.03%
5,90,10,回復の盾,50,1.03%
5,90,10,タージェ,50,1.03%
5,90,10,軍配団扇,50,1.03%
5,90,10,ライオットシールド,50,1.03%
5,90,10,剣盾,50,1.03%
5,90,10,身かわしの盾,50,1.03%
5,90,10,免疫の盾,50,1.03%
5,90,10,ミラーシールド,50,1.03%
5,90,10,鍛錬の盾,50,1.03%
5,90,10,小判盾,50,1.03%
5,90,10,ワクチンの盾,50,1.03%
5,90,10,カフェインの盾,50,1.03%
5,90,10,ガマ油の盾,50,1.03%
5,90,10,メッキの盾,50,1.03%
5,90,10,桃太郎の盾,50,1.03%
5,90,10,六芒星の盾,50,1.03%
5,90,10,司令塔の盾,50,1.03%
5,90,10,ルビーのネックレス,50,1.03%
5,90,10,ダイヤのネックレス,50,1.03%
5,90,10,増進の指輪,50,1.03%
5,90,10,軍神の指輪,50,1.03%
5,90,10,白盾の指輪,50,1.03%
5,90,10,糸通師の指輪,50,1.03%
5,90,10,舞踊の指輪,50,1.03%
5,90,10,打ち出の小槌,50,1.03%
5,90,10,矛盾の指輪,10,0.21%
5,90,10,千年時計,10,0.21%
99,99,100,トツカノツルギ,100,50.00%
99,99,100,アダマンタイトの盾,100,50.00%
