MIN,MAX,Probability,ItemMasterID,ItemProbability,出現確率
5,90,10,ヒールポーション,200,2.65%
5,90,10,メガヒールポーション,150,1.99%
5,90,10,ギガヒールポーション,100,1.33%
5,90,10,アーマーポーション,200,2.65%
5,90,10,メガアーマーポーション,150,1.99%
5,90,10,ギガアーマーポーション,100,1.33%
5,90,10,再生付与の薬,70,0.93%
5,90,10,鋭利付与の薬,70,0.93%
5,90,10,硬化付与の薬,70,0.93%
5,90,10,透視付与の薬,70,0.93%
5,90,10,罠師付与の薬,70,0.93%
5,90,10,幸福付与の薬,70,0.93%
5,90,10,毒打消の薬,70,0.93%
5,90,10,呆け打消の薬,70,0.93%
5,90,10,負傷打消の薬,70,0.93%
5,90,10,鈍ら打消の薬,70,0.93%
5,90,10,恐怖打消の薬,70,0.93%
5,90,10,封印打消の薬,70,0.93%
5,90,10,混乱打消の薬,70,0.93%
5,90,10,エックスレイポーション,70,0.93%
5,90,10,アナライシスポーション,70,0.93%
5,90,10,ドレインポーション,70,0.93%
5,90,10,ブレイクポーション,70,0.93%
5,90,10,アルケミポーション,70,0.93%
5,90,10,バックポーション,70,0.93%
5,90,10,プロシードポーション,70,0.93%
5,90,10,鋼鉄の剣,70,0.93%
5,90,10,怪剣シュテンドウジ,15,0.20%
5,90,10,大器の剣,15,0.20%
5,90,10,蛇の剣,70,0.93%
5,90,10,蜻蛉切,70,0.93%
5,90,10,パルチザン,70,0.93%
5,90,10,見極めの剣,70,0.93%
5,90,10,キセル,70,0.93%
5,90,10,懐刀,70,0.93%
5,90,10,世界樹の杖,70,0.93%
5,90,10,七星剣,70,0.93%
5,90,10,ワザモノツルギ,70,0.93%
5,90,10,ククリ,70,0.93%
5,90,10,ヘドロの剣,70,0.93%
5,90,10,惑わしの杖,70,0.93%
5,90,10,恐喝剣,70,0.93%
5,90,10,六芒星の剣,70,0.93%
5,90,10,幸運の剣,70,0.93%
5,90,10,ガラドール,70,0.93%
5,90,10,鍛錬の剣,70,0.93%
5,90,10,銭刀,70,0.93%
5,90,10,十手,70,0.93%
5,90,10,妖刀イマツルギ,50,0.66%
5,90,10,鋼鉄の盾,70,0.93%
5,90,10,金剛タマモノマエ,15,0.20%
5,90,10,大器の盾,15,0.20%
5,90,10,再生の盾,70,0.93%
5,90,10,ヒーターシールド,70,0.93%
5,90,10,カイトシールド,70,0.93%
5,90,10,回復の盾,70,0.93%
5,90,10,タージェ,70,0.93%
5,90,10,軍配団扇,70,0.93%
5,90,10,ライオットシールド,70,0.93%
5,90,10,剣盾,70,0.93%
5,90,10,身かわしの盾,70,0.93%
5,90,10,免疫の盾,70,0.93%
5,90,10,ミラーシールド,70,0.93%
5,90,10,鍛錬の盾,70,0.93%
5,90,10,小判盾,70,0.93%
5,90,10,ワクチンの盾,70,0.93%
5,90,10,カフェインの盾,70,0.93%
5,90,10,ガマ油の盾,70,0.93%
5,90,10,メッキの盾,70,0.93%
5,90,10,桃太郎の盾,70,0.93%
5,90,10,六芒星の盾,70,0.93%
5,90,10,司令塔の盾,70,0.93%
5,90,10,ルビーのネックレス,50,0.66%
5,90,10,ダイヤのネックレス,50,0.66%
5,90,10,増進の指輪,50,0.66%
5,90,10,軍神の指輪,50,0.66%
5,90,10,白盾の指輪,50,0.66%
5,90,10,糸通師の指輪,50,0.66%
5,90,10,舞踊の指輪,50,0.66%
5,90,10,打ち出の小槌,50,0.66%
5,90,10,矛盾の指輪,20,0.27%
5,90,10,千年時計,20,0.27%
5,90,10,木の矢,200,2.65%
5,90,10,鉄の矢,200,2.65%
5,90,10,ショットガン,200,2.65%
5,90,10,SAA,200,2.65%
5,90,10,爆弾,200,2.65%
5,90,10,鈍らの魔法石,90,1.19%
5,90,10,負傷の魔法石,90,1.19%
5,90,10,恐怖の魔法石,90,1.19%
5,90,10,封印の魔法石,90,1.19%
5,90,10,混乱の魔法石,45,0.60%
5,90,10,肩代の魔法石,45,0.60%
5,90,10,状態異常の魔法石,70,0.93%
5,90,10,蛞蝓の魔法石,70,0.93%
5,90,10,ウンディーネの魔法石,55,0.73%
5,90,10,通行の魔法石,80,1.06%
5,90,10,変異の魔法石,50,0.66%
5,90,10,能力付与の魔法石,50,0.66%
99,99,100,トツカノツルギ,100,50.00%
99,99,100,アダマンタイトの盾,100,50.00%
